"ID";"参照記号";"パッケージ";"数";"名称";"Supplier and ref";
1;"K1";"SIL-5";1;"CONN_5";;;
2;"U2";"SOT-23";1;"MCP1700-3302E";;;
3;"U4";"X2SON";1;"DRV5032FA";;;
4;"U1";"QFN36";1;"GD32F103TB";;;
5;"J1";"USB-A-ZT01";1;"USB_A";;;
6;"U3";"SOT363";1;"NUF2221W1";;;
7;"X1";"FA-20H";1;"12MHz";;;
8;"D1";"LED0603";1;"LED";;;
9;"R1";"r_0402";1;"470";;;
10;"C7,C6";"c_0603";2;"4.7uF";;;
11;"FST-LOGO";"FST-LOGO";1;"VAL**";;;
12;"C1,C2,C5,C4,C3";"c_0402";5;"0.1uF";;;
